time,ref_x,ref_y,ref_z
1.390000,0.013719,0.000000,0.000000
1.400000,0.014288,0.000000,0.000000
1.410000,0.014881,0.000000,0.000000
1.420000,0.015497,0.000000,0.000000
1.430000,0.016138,0.000000,0.000000
1.440000,0.016806,0.000000,0.000000
1.450000,0.017500,0.000000,0.000000
1.460000,0.018222,0.000000,0.000000
1.470000,0.018973,0.000000,0.000000
1.480000,0.019755,0.000000,0.000000
1.490000,0.020568,0.000000,0.000000
1.500000,0.021413,0.000000,0.000000
1.510000,0.022293,0.000000,0.000000
1.520000,0.023208,0.000000,0.000000
1.530000,0.024160,0.000000,0.000000
1.540000,0.025150,0.000000,0.000000
1.550000,0.026179,0.000000,0.000000
1.560000,0.027250,0.000000,0.000000
1.570000,0.028364,0.000000,0.000000
1.580000,0.029522,0.000000,0.000000
1.590000,0.030726,0.000000,0.000000
1.600000,0.031979,0.000000,0.000000
1.610000,0.033281,0.000000,0.000000
1.620000,0.034635,0.000000,0.000000
1.630000,0.036042,0.000000,0.000000
1.640000,0.037506,0.000000,0.000000
1.650000,0.039028,0.000000,0.000000
1.660000,0.040610,0.000000,0.000000
1.670000,0.042254,0.000000,0.000000
1.680000,0.043963,0.000000,0.000000
1.690000,0.045740,0.000000,0.000000
1.700000,0.047586,0.000000,0.000000
1.710000,0.049505,0.000000,0.000000
1.720000,0.051500,0.000000,0.000000
1.730000,0.053572,0.000000,0.000000
1.740000,0.055726,0.000000,0.000000
1.750000,0.057963,0.000000,0.000000
1.760000,0.060288,0.000000,0.000000
1.770000,0.062703,0.000000,0.000000
1.780000,0.065211,0.000000,0.000000
1.790000,0.067817,0.000000,0.000000
1.800000,0.070524,0.000000,0.000000
1.810000,0.073335,0.000000,0.000000
1.820000,0.076254,0.000000,0.000000
1.830000,0.079285,0.000000,0.000000
1.840000,0.082431,0.000000,0.000000
1.850000,0.085699,0.000000,0.000000
1.860000,0.089090,0.000000,0.000000
1.870000,0.092610,0.000000,0.000000
1.880000,0.096263,0.000000,0.000000
1.890000,0.100055,0.000000,0.000000
1.900000,0.103988,0.000000,0.000000
1.910000,0.108070,0.000000,0.000000
1.920000,0.112304,0.000000,0.000000
1.930000,0.116695,0.000000,0.000000
1.940000,0.121250,0.000000,0.000000
1.950000,0.125973,0.000000,0.000000
1.960000,0.130870,0.000000,0.000000
1.970000,0.135946,0.000000,0.000000
1.980000,0.141208,0.000000,0.000000
1.990000,0.146662,0.000000,0.000000
2.000000,0.152312,0.000000,0.000000
2.010000,0.158167,0.000000,0.000000
2.020000,0.164231,0.000000,0.000000
2.030000,0.170512,0.000000,0.000000
