time,x,y,z
1.000000,-0.092704,0.225419,0.103112
2.000000,-1.800815,-0.521831,0.410168
3.000000,2.450103,-0.511220,1.213897
4.000000,6.621998,0.479238,0.475216
5.000000,14.149902,-0.987857,0.315647
6.000000,17.143029,-0.933230,0.377800
7.000000,21.787904,-0.565314,-2.789539
8.000000,28.096521,-0.155199,-0.289265
9.000000,28.929490,0.390088,0.178139
10.000000,31.737007,-0.507326,-0.285916
